"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12612","Authenticate User","setup","2026-08-25","passed","2026-08-25","","auth.setup.ts","",""
"","0","creating basic cbp @demo","chromium","2026-08-25","skipped","2026-08-25","","cbp-editor\basic.cbpeditor.spec.ts","",""
"","68392","Verify global section style and alert font properties @demo","chromium","2026-08-25","passed","2026-08-25","","cbp-editor\heading1FontStyle.spec.ts","",""
