"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","288688","should create a sticky note","chromium","2026-07-28","failed","2026-07-28","","cbp-editor\stickynote.spec.ts","",""
"","14049","Authenticate User","setup","2026-07-28","passed","2026-07-28","","auth.setup.ts","",""
