"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","41872","test","msedge","2026-07-23","failed","2026-07-23","","cbp-editor\basic.cbpeditor.spec.ts","",""
"","46662","test","firefox","2026-07-23","failed","2026-07-23","","cbp-editor\basic.cbpeditor.spec.ts","",""
"","14681","Authenticate User","setup","2026-07-23","passed","2026-07-23","","auth.setup.ts","",""
"","41573","test","chromium","2026-07-23","failed","2026-07-23","","cbp-editor\basic.cbpeditor.spec.ts","",""
